symbol,code
SESHAPAPER,502450
NATHIND,502587
VAPIENTER,502589
FORBESCO,502865
HPCOTTON,502873
UNITEDINT,502893
JAMSHRI,502901
KATRSPG,502933
KESORAMIND,502937
VTL,502986
PENINLAND,503031
PHOENIXLTD,503100
MARATHON,503101
RAJABAH,503127
RELCHEMQ,503162
RUBYMILLS,503169
SIMPLXREA,503229
SWANCORP,503310
VICTMILL,503349
ZSVARAJT,503624
SALSAIN,503635
APOLLOIN,503639
ZODIACVEN,503641
VEERENRGY,503657
SW1,503659
TILAK,503663
WAGEND,503675
ELCIDIN,503681
BANSWRAS,503722
SHRIDINE,503804
SRF,503806
SIYSIL,503811
SWADPOL,503816
SHRAJSYNQ,503837
BBL,503960
ELPROINTL,504000
GEE,504028
HIRECT,504036
NIPPOBATRY,504058
ZENSARTECH,504067
JYOTI,504076
JSLINDL,504080
KAYCEEI,504084
INDOKEM,504092
PANAENERG,504093
NELCO,504112
PERMAGN,504132
HIGHENE,504176
STDBAT,504180
UNIVCABLES,504212
WSI,504220
DLTNCBL,504240
LAKSELEC,504258
MODULEX,504273
DELTAMAGNT,504286
LONGSPUR,504340
RELTD,504341
EMPOWER,504351
ZMULTIPU,504356
GRANDMA,504369
NYSSACORP,504378
FLOMIC,504380
KRISHNA,504392
GANHOLD,504397
UNIABEXAL,504605
SARDAEN,504614
BGWTATO,504646
BOMBWIR,504648
AZADIND,504731
INDIANHUME,504741
INLCM,504746
INVPRECQ,504786
KAIRA,504840
ORIENTCER,504879
NATIONSTD,504882
RATHIST,504903
DUNCANENG,504908
SANDUMA,504918
STOVACQ,504959
CHOLAHLDNG,504973
AUTOAXLES,505010
ATLASCYCLE,505029
ACGL,505036
SETCO,505075
TALBROAUTO,505160
ZFSTEERING,505163
SMLMAH,505192
TIL,505196
EICHERMOT,505200
JAINEX,505212
ALFREDHE,505216
VELJAN,505232
DYNAMATECH,505242
GMMPFAUDLR,505255
KIRLPNU,505283
KPT,505299
LAKSHMIEW,505302
MANUGRAPH,505324
HARSHILAGR,505336
MONOT,505343
NESCO,505355
INTEGRAEN,505358
SEMAC,505368
TEXINFRA,505400
WENDT,505412
PSITINFRA,505502
GHVINFRA,505504
RESPONIND,505509
SHYMINV,505515
MAHACORP,505523
DOLATALGO,505526
WESTLIFE,505533
ZEEL,505537
SVPGLOB,505590
SKYLMILAR,505650
BIMETAL,505681
TAPARIA,505685
BHARATGEAR,505688
BRADYM,505690
LATIMMETAL,505693
ELECON,505700
GRAUWEIL,505710
HIMTEK,505712
GABRIEL,505714
HERCULES,505720
ALGOQUANT,505725
IFBIND,505726
SINGERIND,505729
INTLCOMBQ,505737
FMGOETZE,505744
JOSTS,505750
SCHAEFFLER,505790
MPCOSEMB,505797
RANEHOLDIN,505800
SNL,505827
JAIPAN,505840
MANCREDIT,505850
TRF,505854
WPIL,505872
KENNAMET,505890
HINDHARD,505893
TRITONV,505978
SUDAI,506003
PRAKASH,506022
ARSHIYA,506074
GRINDWELL,506076
LAKPRE,506079
STANROS,506105
GENESYS,506109
VOLKAI,506122
PARNAXLAB,506128
GOURMET,506134
VIVIDHA,506146
APIS,506166
EMERGENT,506180
KANANIIND,506184
GSLTD,506186
ARIHANTSUP,506194
BLISSGVS,506197
STYRENIX,506222
ALEMBICLTD,506235
AMNPLST,506248
ANUHPHR,506260
MODISONLTD,506261
BAYERCROP,506285
STARSOURCE,506365
COROMANDEL,506395
DEEPAKNTR,506401
DMCC,506405
FERMENTA,506414
GOCLCORP,506480
JAYCH,506520
KANORICHEM,506525
KELENRG,506528
KEMP,506530
NITTAGELA,506532
MPAGI,506543
AGVENTURES,506579
PCBL,506590
AMAL,506597
POLYCHEM,506605
PUNJABCHEM,506618
ZR2,506640
SADHNANIQ,506642
SUDARSCHEM,506655
TECILCHEM,506680
ULTRAMAR,506685
TRANSPEK,506687
UNICHEMLAB,506690
MYSORPETRO,506734
ALKYLAMINE,506767
TUTIALKA,506808
ASTRAZEN,506820
PRIMO,506852
TANFACIND,506854
GUJPETR,506858
SWADEIN,506863
GUJTHEM,506879
CONTCHM,506935
ADVPETR-B,506947
APTPACK,506979
BLUECHIPT,506981
JAGAJITIND,507155
KESARENT,507180
TI,507205
EMERALL,507265
RAVALSUGAR,507300
SAKHTISUG,507315
WALCHANNAG,507410
IFBAGRO,507438
KFBL,507474
CAPRO,507486
GMBREW,507488
RANASUG,507490
PICCASUG,507498
SDBL,507514
CJGEL,507515
ASALCBR,507526
FOODSIN,507552
IVP,507580
KLRFM,507598
OLYOI,507609
MLKFOOD,507621
WIPRO,507685
ORIBEVER,507690
DHANUKA,507717
TTKHLTCARE,507747
TGVSL,507753
LIMECHM,507759
KANPRPLA,507779
TAINWALCHM,507785
JAGSNPHARM,507789
KHAICHEM,507794
NOL,507813
GILLETTE,507815
ANSALHSG,507828
COMPUPN,507833
MCCHRLS-B,507836
ADDIND,507852
ASHNOOR,507872
UNITECH,507878
VIPIND,507880
FIBERWEB,507910
GYFTR,507912
BAJAJST,507944
KIDUJA,507946
KEYCORP,507948
GUJHOTE,507960
FYNX,507962
RASRESOR,507966
JOLYPLS,507968
PARMCOS-B,507970
JINDHOT,507981
SIMMOND,507998
HAWKINCOOK,508486
WARRENTEA,508494
COCHMAL,508571
BESTEAST,508664
NEAGI,508670
ISTLTD,508807
COSMOFIRST,508814
APOLLOHOSP,508869
NITINCAST,508875
NEXOME,508905
EVERESTIND,508906
IRONWOOD,508918
AYMSYNTEX,508933
PANCARBON,508941
FINKURVE,508954
HBLEAS,508956
SHRICON,508961
TRUSTWAVE,508963
SULABEN,508969
FRONTCAP,508980
NAVNETEDUL,508989
AUSOMENT,509009
THAKRAL,509015
RUCHINFRA,509020
GOLDLEG,509024
VJTFEDU,509026
VOLLF,509038
NETLINK,509040
TRILIANCE,509046
LANCORHOL,509048
INDINFO,509051
BANASFN,509053
VISAKAIND,509055
INFOMEDIA,509069
HATHWAYB,509073
GUFICBIO,509079
GRPLTD,509152
INDAG,509162
MMRUBBR-B,509196
PTL,509220
TVSSRICHAK,509243
SEL,509423
BENARAS,509438
BHAGWOX,509449
BOMOXY-B1,509470
CRAVATEX,509472
BERGEPAINT,509480
CAPRIHANS,509486
GRAPHITE,509488
CEMPRO,509496
EMPIND,509525
GRAVISSHO,509546
GARFIBRES,509557
GARWAMAR,509563
GOACARBON,509567
HARDCAS,509597
HEG,509631
HINDCOMPOS,509635
BIRLANU,509675
INDIANCARD,509692
INTLCONV,509709
JAYSREETEA,509715
KOTIC,509732
MODRNSH,509760
MAPROIN,509762
HUHTAMAKI,509820
SHALPAINTS,509874
HINDMILL,509895
SUPREMEIND,509930
TRADWIN,509953
VSTIND,509966
SWASTIVI,510245
MSLGLOBAL,511000
YAMNINV,511012
PREMCAP,511016
ZMILGFIN,511018
JINDRILL,511034
SAKTHIFIN,511066
AEROENTER,511076
JMDVL,511092
SHIVATEX,511108
VBDESAI,511110
QUADRANT,511116
1STCUS,511122
KAMANWALA,511131
AXISOL,511144
WSFX,511147
ANJANIFOODS,511153
RKDAGRRTL,511169
PARSHWANA,511176
RAJVI,511185
MILLENNIUM,511187
ICDSLTD,511194
CANFINHOME,511196
IVC,511208
SHRIRAMFIN,511218
CHOLAFIN,511243
BOMTALKIES,511246
ICONIKSPEV,511260
VLSFINANCE,511333
INDCEMCAP,511355
ADMANUM,511359
MEHIF,511377
INTRGLB,511391
MCLTD,511401
SHRISTI,511411
CREST,511413
VAKRANGEE,511431
GUJCRED,511441
SYLPH,511447
DHARFIN,511451
ALEXANDER,511463
INDBANK,511473
SHRYDUS,511493
BHARAT,511501
CAPTRUST,511505
USHAKIRA,511507
VIVOBIOT,511509
VEERHEALTH,511523
PANINDIAC,511525
SAHARAHOUS,511533
NDASEC,511535
SUPRATRE,511539
GSBFIN,511543
MORARKFI,511549
MONARCH,511551
PROFINC,511557
TEAMGTY,511559
CRESCENTIS,511571
MANTRA,511577
AVONMORE,511589
LIBORDFIN,511593
YASHMGM,511601
ARIHANTCAP,511605
ISLCONSUL,511609
DCMFINSERV,511611
RRFIN,511626
FEDDERSHOL,511628
SAMBHAAV,511630
OMEGAIN,511644
SUGALDAM,511654
NETTLINX,511658
BGIL,511664
SCANSTL,511672
GICHSGFIN,511676
AJCON,511692
CHRTEDCA,511696
STANCAP,511700
YOGI,511702
CUBIFIN,511710
RELICTEC,511712
NIMBSPROJ,511714
INVIGO,511716
BAIDFIN,511724
VIPULLTD,511726
KZLFIN,511728
PASUFIN,511734
RFL,511740
UGROCAP,511742
SAHLIBHFI,511754
ABIRAFN,511756
MANSIFIN,511758
AASTAFIN,511764
MUTHOOTCAP,511766
MASTERTR,511768
EFCIL,512008
SOBME,512014
TTGIL,512018
ASGARD,512025
SKYBIOTECH,512036
TCC,512038
ROYALIND,512047
DHANSAFAL,512048
TANDHANIN,512062
VISVEN,512064
MRUTR,512065
DECNGOLD,512068
UPL,512070
CRANESSOFT,512093
SAICOM,512097
EY,512099
NIDHGRN,512103
ROSEMER,512115
SIGIND,512131
AVANCE,512149
SECURKLOUD,512161
ABANSENT,512165
CAPRICORN,512169
VAMA,512175
SUNTECK,512179
SILVERO,512197
PRISMMEDI,512217
VERITAS,512229
JAICORPLTD,512237
ASHCAP,512247
SVARTCORP,512257
MMWL,512267
AUTOINT,512277
BHAGYANGR,512296
CHMBBRW,512301
SGMART,512329
ARAVALIS,512344
LEXGLOBAL,512345
SWORDEDGE,512359
CUPIDALBV,512361
CRSL,512379
SHARDUL,512393
SERA,512399
MERCTRD,512415
NIRAVCOM,512425
APOLLOFI,512437
ENBETRD,512441
GANONPRO,512443
LLOYDSME,512455
LLOYDSENT,512463
BETXIND,512477
OASISEC,512489
GARNETINT,512493
SHALPRO,512499
DONEAR,512519
SUPER,512527
VIYASH,512529
STCINDIA,512531
KOHINOOR,512559
AVANTIFEED,512573
ZODJRDMKJ,512587
SITAENT,512589
PULSRIN,512591
KDGREEN,512595
KEYFINSERV,512597
ADANIENT,512599
ASTALLTD,512600
BHANDARI,512608
RLF,512618
REGENTRP,512624
ORBTEXP,512626
SAVERA,512634
CHROME,513005
NAVA,513023
REMIEDEL,513043
GSAUTO,513059
TRANSFRE,513063
SBCL,513097
GANDHITUBE,513108
AMFORG,513117
ONIXSOLAR,513119
ORICONENT,513121
ACROW,513149
STLSTRINF,513173
PENIND,513228
JYOTISTRUC,513250
JAYUSH,513252
SSWL,513262
MANINDS,513269
IMEC,513295
MDRNSTL,513303
BELDING,513307
GUJTLRM,513337
GFSTEELS,513343
AJMERA,513349
COCHINM,513353
INDIAHOMES,513361
KVFORGE,513369
CARBORUNIV,513375
MMTC,513377
VALLABHSQ,513397
SMFIL,513418
MAITRI,513430
SHAHALLOYS,513436
ELANGO,513452
KANSHST,513456
MAHALXSE,513460
SIMPLEXCAS,513472
SSWRL,513488
SIZEMASTER,513496
SOUTHMG,513498
BAROEXT,513502
KALYANIFRG,513509
PANCHMAHQ,513511
ADITYA,513513
STEELCAS,513517
PITTIENG,513519
GLITTEKG,513528
PRADPME,513532
GNRL,513536
TNSTLTU,513540
MSCTC,513544
SHRDAIS,513548
MAHASTEEL,513554
NOVIS,513566
STERPOW,513575
HINDCOPPER,513599
TULSYAN,513629
AXELPOLY,513642
NLCINDIA,513683
SPECTRA,513687
KAJARIR,513693
SOLIDSTON,513699
SHILGRAVQ,513709
WHITEORG,513713
MFSINTRCRP,513721
RUDRAECO,514010
RAJKSYN,514028
DEEPAKSP,514030
LOYALTEX,514036
HIMATSEIDE,514043
NEWTRAC,514060
PBMPOLY,514087
ADINATH,514113
SURYALA,514138
TTL,514142
WELSPUNLIV,514162
INDIANACRY,514165
GANECOS,514167
CEETAIN,514171
VARDMNPOLY,514175
BLACKROSE,514183
STCORP,514197
SUMEETINDS,514211
RAMGOPOLY,514223
SANGAMIND,514234
MKVENTURES,514238
KUSHIND,514240
SURBHIN,514260
SEASONST,514264
ZENIFIB,514266
BHILSPIN,514272
VGL,514274
SANTETX,514280
ASHIMASYN,514286
PIONEEREMB,514300
VIPPYSP,514302
JAIHIND,514312
RAGHUSYN,514316
JATTAINDUS,514318
KAMADGIRI,514322
OMNITEX,514324
PATSPINLTD,514326
ONEGLOBAL,514330
NEOINFRA,514332
CCME,514336
PREMIERPOL,514354
EVERFIN,514358
KRRAIL,514360
YARNSYN,514378
GUJCOTEX,514386
GARWSYN,514400
ECOHOTELS,514402
OXFORDIN,514414
MANORG,514418
BPAGRI,514440
SRIKPRIND,514442
JYOTIRES,514448
MHLXMIRU,514450
SOUTLAT,514454
WINSOMTX,514470
MODINSU,515008
REGENCERAM,515018
ASAHIINDIA,515030
MURUDCERA,515037
SEKURITIND,515043
ANANTRAJ,515055
MADHUDIN,515059
RESTILE,515085
MADHAV,515093
HALDYNGL,515147
DUROPLY,516003
SHREYANIND,516016
STARPAPER,516022
PAKKA,516030
TAHMARENT,516032
KSSMART,516038
NATPLY,516062
ARROWGREEN,516064
VISHNU,516072
JUMBO,516078
NRAIL,516082
3PLAND,516092
SANPA,516096
VENTURA,516098
SHKARTP,516106
STHINPA,516108
FAMILYCARE,516110
VINDHYATEL,517015
RIR,517035
ADOR,517041
SALZERELEC,517059
JETKINGQ,517063
INDAGIV,517077
APLAB,517096
PCS,517119
USHAMART,517146
SUBROS,517168
EDVENSWA,517170
PERVASIVE,517172
HONAUT,517174
SWITCHTE,517201
LUMAXIND,517206
DIGISPICE,517214
AURIQUE,517230
CALCOM,517236
DYNAVSN,517238
BCCFUBA,517246
PRECISIO,517258
FINELINE,517264
HBLENGINE,517271
S&SPOWER,517273
RNITAI,517286
GUJARATPOLY,517288
GIPCL,517300
MAGNUS,517320
MOTHERSON,517334
MODMA,517336
MINDTECK,517344
HAVELLS,517354
ACIIN,517356
SBECSYS,517360
INCAP,517370
GUJINTRX,517372
IGARASHI,517380
SYMPHONY,517385
REGANTO,517393
PANELEC,517397
VXLINSTR,517399
SHYAMTEL,517411
LEENEE,517415
PATELSAI,517417
BUTTERFLY,517421
ATHENAGLO,517429
NARMP,517431
DUTRON,517437
RSSOFTWARE,517447
MAGNAELQ,517449
MARSONS,517467
ELNET,517477
ACCEL,517494
WEBELSOLAR,517498
ROTO,517500
TTKPRESTIG,517506
DHINDIA,517514
RAJRATAN,517522
SURANAT&P,517530
ONWARDTEC,517536
CENTUM,517544
ALFATRAN,517546
NHCFOODS,517554
PVP,517556
TRIGYN,517562
KEI,517569
SRICC,518053
SURAJ,518075
APCL,518091
MODINATUR,519003
SHAHFOOD,519031
TASTYBITE,519091
RITESHIN,519097
AVTNPL,519105
HNDFDS,519126
NAHARINDUS,519136
VADILENT,519152
VADILALIND,519156
ASHAI,519174
ADFFOODS,519183
RGRL,519191
WILLIMFI,519214
AJANTSOY,519216
KISAAN,519230
SIEL,519234
SPTRSHI,519238
SRDAPRT,519242
SANWARIA,519260
PRIMAGR,519262
MADHURIND,519279
TARAI,519285
MODAIRY,519287
BAMBINO,519295
PRIMIND,519299
VIKASWSP,519307
VSFPROJ,519331
NOVYRA,519353
POONADAL,519359
TRANSFD,519367
ANIKINDS,519383
SHINDL,519397
DATIWARE,519413
KSE,519421
PIONAGR,519439
VIRATCRA,519457
IBINFO,519463
AMBARPIL,519471
CHORDIA,519475
CIANAGRO,519477
OMEAG,519479
TAIIND,519483
BKV,519500
NCCBLUE,519506
ASIANTNE,519532
HERITGFOOD,519552
SIMRAN,519566
HINDUST,519574
CCL,519600
KELLTONTEC,519602
SURFI,519604
INTEGFD,519606
LAKESHORE,519612
RICOAUTO,520008
OMAXAUTO,520021
MUNJALSHOW,520043
JAMNAAUTO,520051
TVSHLTD,520056
JTEKTINDIA,520057
MUNJALAU,520059
JAYBARMARU,520066
RACLGEAR,520073
SAMKRG,520075
ECSTSTL,520081
SICALLOG,520086
RATNAMANI,520111
VESUVIUS,520113
ASAL,520119
ARCEEIN,520121
ABCINDQ,520123
BALTE,520127
COARO,520131
SIBARAUT,520141
TRANSWORLD,520151
STARLOG,520155
TITANIN,521005
EUROTEXIND,521014
ICIL,521016
MARALOVER,521018
SOMATEX,521034
SOURCEIND,521036
KAKTEX,521054
OCTAVE,521062
TRIDENT,521064
HISARSP,521068
ALOKINDS,521070
PASARI,521080
AMARJOTHI,521097
OLYMPTX,521105
NAGREEKEXP,521109
SUDTIND-B,521113
SBFL,521131
GEMSPIN,521133
EUREKAI,521137
ADITYASP,521141
PRIMEURB,521149
SLSTLQ,521161
ZODIACLOTH,521163
MAXGROW,521167
SRMCL,521178
SUPERSPIN,521180
SILINV,521194
SURYALAXMI,521200
SAMTEX,521206
DHANROTO,521216
DAMODARIND,521220
SANBLUE,521222
UNIROYAL,521226
TATIAGLOB,521228
SUNILTX,521232
SRINACHA,521234
BGDL,521238
SAMBANDAM,521240
MKPMOB,521244
PARASPETRO,521246
KITEX,521248
CRANEX,522001
BATLIBOI,522004
AUSTENG,522005
UNIDT,522014
FLUIDOM,522017
EMAINDIA,522027
WINDMACHIN,522029
SHANTIGEAR,522034
MIVENMACH,522036
HONDAPOWER,522064
HITECHGEAR,522073
ELGIEQUIP,522074
UVDRHOR,522091
KLBRENG-B,522101
BIRLAPREC,522105
YUKEN,522108
TIMKEN,522113
VOITHPAPR,522122
ARTSON,522134
DIACABS,522163
INDSILHYD,522165
ITL,522183
FRONTSP,522195
PRAJIND,522205
RASANDIK,522207
YOGISUNG,522209
HLEGLAS,522215
GUJAPOLLO,522217
TANAA,522229
CONART,522231
MINALIND,522235
SHIVAGR,522237
MMFL,522241
MAYURUNIQ,522249
CENLUB,522251
RAJOOENG,522257
DOLPHIN,522261
VJLAXMIE,522267
AHMDSTE,522273
GVT&D,522275
RAMRAT,522281
JAYNECOIND,522285
KPIL,522287
NMSGLOBAL,522289
CANDOUR,522292
TIGLOB,522294
CONTROLPR,522295
BEMHY,522650
ANSALBU,523007
WEIZMANIND,523011
BNRSEC,523019
RISHITECH,523021
SINCLAIR,523023
SAFARI,523025
COSMOFE,523100
CROPSTER,523105
THRIVE,523120
EIHAHOTELS,523127
MEDICAPQ,523144
FOSECOC,523160
BAPACK,523186
ABAN,523204
KOKUYOCMLN,523207
SRMENERGY,523222
BHARATSE,523229
CONTPTR,523232
NBFOOT,523242
MACPLASQ,523248
PEARLPOLY,523260
VENKEYS,523261
ADVANIHOTR,523269
GVFILM,523277
SUPERHOUSE,523283
RAMAVISION,523289
TCPLPACK,523301
SHRIGANG,523309
BALMLAWRIE,523319
KOVAI,523323
ELDEHSG,523329
DCMSHRIRAM,523367
DCMSRIND,523369
MAWANASUG,523371
MINID,523373
MAHAPEXLTD,523384
NILKAMAL,523385
HOM,523387
NAHARPOLY,523391
3MINDIA,523395
BOSCH-HCIL,523398
JMFINANCIL,523405
ADCINDIA,523411
TNTELE,523419
SUNRAJDI,523425
RIIL,523445
LINDEINDIA,523457
INDBNK,523465
JAIMATAG,523467
LOTUSCHO,523475
CMMHOSP,523489
UNIOFFICE,523519
APMIN,523537
PRECWIRE,523539
KRYPTONQ,523550
SWISSMLTRY,523558
MARBU,523566
FEL,523574
INDTONER,523586
KUNSTOFF,523594
SCI,523598
SIKA,523606
ITI,523610
DREDGECORP,523618
PHRMASI,523620
NFL,523630
IPRINGLTD,523638
PIIND,523642
PLASTIBLEN,523648
YASHINNO,523650
WATERBASE,523660
FLEXFO,523672
GOLKUNDIA,523676
APCOTEXIND,523694
FORTISMLR,523696
MASTEK,523704
EIMCOELECO,523708
SAYAJIHOTL,523710
ASHIANA,523716
SVAMSOF,523722
ECOBOAR,523732
DVL,523736
TIHIL,523752
MAHEPC,523754
MITSHI,523782
MAZDA,523792
VHLTD,523796
SOVERDIA,523826
MENONBE,523828
MUKATPIP,523832
GUJRAFFIA,523836
SIMPLEXINF,523838
INNOVTEC,523840
SUPTANERY,523842
CONSTRONIC,523844
AXTEL,523850
GRANDOAK,523862
EASTINDIA,523874
MEGAMONT,523888
POONAWALLA,524000
KINGFA,524019
PATIDAR,524031
RAMAPHO,524037
VENLONENT,524038
POLYPLEX,524051
ALBERTDAVD,524075
HARLETH,524080
CARYSIL,524091
KABRAEXTRU,524109
VINYLINDIA,524129
PCCOSMA,524136
TCMLMTD,524156
IOLCP,524164
KESARPE,524174
VINATIORGA,524200
LACTOSE,524202
TEEAI,524204
AARTIIND,524208
WANBURY,524212
RESONANCE,524218
GAEL,524226
RCF,524230
GUJINJEC,524238
KOPRAN,524280
AIMCOPEST,524288
GUJTERC,524314
KABRADG,524322
SEYAIND,524324
JAYAGROGN,524330
BCLIND,524332
SHHARICH,524336
INDOBORAX,524342
AARTIDRUGS,524348
BODALCHEM,524370
ORCHPHARMA,524372
VIMTALABS,524394
BIOFILCHEM,524396
ISHITADR,524400
MARKSANS,524404
UNIVSTAR,524408
AAREYDRUGS,524412
NORRIS,524414
ASINPET,524434
CAMEXLTD,524440
EVEXIA,524444
INDOEURO,524458
SYNCOMF,524470
RIDDHI,524480
SVCIND,524488
IPCALAB,524494
KILITCH,524500
RAAJMEDI,524502
CORALAB,524506
BACPHAR,524516
KREBSBIO,524518
KMCSHIL,524520
LAFFANSQ,524522
BHASKAGR,524534
SUKHJITS,524542
SHARMEH,524548
NEULANDLAB,524558
GAYATRIBI,524564
PODDARMENT,524570
PHARMAID,524572
VIVIDIND,524576
TIRUSTA,524582
JAYSYNTH,524592
AEONXDIGI,524594
AKSHARCHEM,524598
BANDARAM,524602
BERLDRG,524606
